algo,nb_nodes,time,ans
glouton,647,334.5786,216.1
glouton,648,273.8482,214.3
glouton,649,263.61170000000004,218.0
glouton,650,331.77979999999997,215.4
glouton,651,291.0385,216.4
glouton,652,278.5216,215.8
glouton,653,369.77930000000003,216.2
glouton,654,289.8957,217.4
glouton,655,347.1785,217.3
glouton,656,298.52619999999996,218.4
glouton,657,286.15160000000003,219.0
glouton,658,388.6448,218.7
glouton,659,252.92849999999999,218.1
glouton,660,245.83249999999998,220.1
glouton,661,246.4161,219.6
glouton,662,247.23899999999998,219.5
glouton,663,247.60999999999999,219.8
glouton,664,248.4489,219.8
glouton,665,249.7701,220.2
glouton,666,255.28609999999998,219.9
glouton,667,252.3161,222.4
glouton,668,248.919,220.2
glouton,669,251.5484,221.7
glouton,670,250.7158,222.3
glouton,671,250.733,222.0
glouton,672,251.0631,222.4
glouton,673,255.3723,221.6
glouton,674,254.6878,222.8
glouton,675,254.7706,223.9
glouton,676,254.8578,222.8
glouton,677,256.6728,223.4
glouton,678,258.1136,224.3
glouton,679,259.94899999999996,222.7
glouton,680,259.4797,225.1
glouton,681,260.39500000000004,224.6
glouton,682,260.4583,225.8
glouton,683,260.0177,225.3
glouton,684,265.3516,225.0
glouton,685,264.5141,226.4
glouton,686,262.89029999999997,224.6
glouton,687,264.2897,225.6
glouton,688,266.5404,227.5
glouton,689,270.6379,227.0
glouton,690,270.504,227.8
glouton,691,270.1254,228.4
glouton,692,267.96500000000003,229.2
glouton,693,273.0856,228.4
glouton,694,270.1016,228.3
glouton,695,272.2256,228.4
glouton,696,273.8352,228.6
glouton,697,275.1911,230.2
glouton,698,273.1221,228.6
glouton,699,275.3362,231.5
glouton,700,275.9127,231.7
glouton,701,278.6918,232.0
glouton,702,278.748,228.3
glouton,703,279.2679,229.6
glouton,704,279.8353,232.0
glouton,705,281.98490000000004,230.1
glouton,706,283.8504,233.2
glouton,707,282.68600000000004,231.3
glouton,708,283.92510000000004,232.0
glouton,709,284.3882,233.1
glouton,710,285.363,233.5
glouton,711,286.9547,233.8
glouton,712,288.5327,232.7
glouton,713,290.8648,233.8
glouton,714,298.1707,232.3
glouton,715,289.57529999999997,234.7
glouton,716,288.0153,234.9
glouton,717,291.81669999999997,233.8
glouton,718,292.4459,236.0
glouton,719,292.044,234.5
glouton,720,292.81170000000003,235.8
glouton,721,293.00789999999995,236.0
glouton,722,295.527,238.2
glouton,723,298.972,237.3
glouton,724,298.10479999999995,236.6
glouton,725,300.9986,237.3
glouton,726,300.4628,238.9
glouton,727,299.617,238.4
glouton,728,300.1583,236.1
glouton,729,301.2569,238.3
glouton,730,305.6393,238.7
glouton,731,306.4241,239.0
glouton,732,304.0254,239.9
glouton,733,305.6881,239.9
glouton,734,307.3331,240.6
glouton,735,307.7009,240.0
