nb_nodes,seed,algo,time
100,6,glouton,4.833
100,7,glouton,4.9424
100,8,glouton,4.7988
100,9,glouton,4.8563
101,0,glouton,4.8843
101,1,glouton,4.9714
101,2,glouton,12.6369
101,3,glouton,4.7115
101,4,glouton,5.0401
101,5,glouton,4.9182
101,6,glouton,4.9205
101,7,glouton,5.0627
101,8,glouton,4.8019
101,9,glouton,5.0406
102,0,glouton,6.1675
102,1,glouton,5.3274
102,2,glouton,5.1777
102,3,glouton,5.7061
102,4,glouton,5.1334
102,5,glouton,5.0395
102,6,glouton,5.1214
102,7,glouton,5.2453
102,8,glouton,5.3541
102,9,glouton,5.1335
103,0,glouton,5.0407
103,1,glouton,4.9663
103,2,glouton,5.2122
103,3,glouton,5.3445
103,4,glouton,5.2655
103,5,glouton,5.1325
103,6,glouton,5.0901
103,7,glouton,5.184
103,8,glouton,6.4493
103,9,glouton,5.3636
104,0,glouton,5.6606
104,1,glouton,5.5138
104,2,glouton,5.5363
104,3,glouton,5.7352
104,4,glouton,5.3037
104,5,glouton,5.5269
104,6,glouton,5.2719
104,7,glouton,5.0936
104,8,glouton,5.5897
104,9,glouton,5.0913
105,0,glouton,5.3202
105,1,glouton,5.2779
105,2,glouton,5.5507
105,3,glouton,6.1475
105,4,glouton,5.3859
105,5,glouton,6.055
105,6,glouton,5.2663
105,7,glouton,6.3202
105,8,glouton,5.5969
105,9,glouton,5.5894
106,0,glouton,5.6459
106,1,glouton,6.231
106,2,glouton,5.291
106,3,glouton,5.3011
106,4,glouton,5.4055
106,5,glouton,5.3444
106,6,glouton,5.3916
106,7,glouton,5.7655
106,8,glouton,5.5336
106,9,glouton,11.9801
107,0,glouton,5.5648
107,1,glouton,5.7882
107,2,glouton,5.5597
107,3,glouton,5.3543
107,4,glouton,5.8495
107,5,glouton,6.0872
107,6,glouton,7.02
107,7,glouton,6.1554
107,8,glouton,8.2987
107,9,glouton,5.6886
108,0,glouton,5.7287
108,1,glouton,5.8539
108,2,glouton,5.8015
108,3,glouton,5.7742
108,4,glouton,5.8268
108,5,glouton,5.7172
108,6,glouton,6.0247
108,7,glouton,5.8694
108,8,glouton,5.9217
108,9,glouton,5.4193
109,0,glouton,5.5823
109,1,glouton,6.1146
109,2,glouton,6.3113
109,3,glouton,6.0469
109,4,glouton,5.9157
109,5,glouton,6.0184
109,6,glouton,7.5318
109,7,glouton,5.9503
109,8,glouton,5.725
109,9,glouton,5.8606
