nb_nodes,seed,algo,time,ans
38,9,glouton,0.7954,21
39,0,glouton,0.8361,20
39,1,glouton,1.2315,22
39,2,glouton,0.806,19
39,3,glouton,0.8352,21
39,4,glouton,0.83,20
39,5,glouton,0.7985,20
39,6,glouton,0.8367,20
39,7,glouton,0.8671,21
39,8,glouton,0.8308,19
39,9,glouton,0.8184,20
40,0,glouton,0.8631,21
40,1,glouton,0.8905,22
40,2,glouton,0.8462,20
40,3,glouton,0.8536,21
40,4,glouton,1.0991,20
40,5,glouton,0.8124,19
40,6,glouton,1.1478,20
40,7,glouton,0.8893,22
40,8,glouton,0.8684,20
40,9,glouton,0.819,19
41,0,glouton,0.8924,21
41,1,glouton,0.9131,21
41,2,glouton,0.8591,19
41,3,glouton,0.9535,23
41,4,glouton,0.852,19
41,5,glouton,0.8524,20
41,6,glouton,0.8809,21
41,7,glouton,0.8652,20
41,8,glouton,0.9094,22
41,9,glouton,0.8509,20
42,0,glouton,0.9043,21
42,1,glouton,0.8715,20
42,2,glouton,1.0895,21
42,3,glouton,0.9007,22
42,4,glouton,0.8716,20
42,5,glouton,1.0762,20
42,6,glouton,0.9326,21
42,7,glouton,1.0199,23
42,8,glouton,0.9127,21
42,9,glouton,0.9942,22
43,0,glouton,0.9702,21
43,1,glouton,0.9885,22
43,2,glouton,0.9852,22
43,3,glouton,0.9818,22
43,4,glouton,0.9864,22
43,5,glouton,0.9862,23
43,6,glouton,0.9502,21
43,7,glouton,1.0192,23
43,8,glouton,0.9673,21
43,9,glouton,1.0416,20
44,0,glouton,1.0866,25
44,1,glouton,0.9894,21
44,2,glouton,0.9855,22
44,3,glouton,1.1053,23
44,4,glouton,0.9917,21
44,5,glouton,0.9839,21
44,6,glouton,1.0016,22
44,7,glouton,1.0562,23
44,8,glouton,1.0269,23
44,9,glouton,3.7006,21
45,0,glouton,1.3816,24
45,1,glouton,1.0565,23
45,2,glouton,1.0659,23
45,3,glouton,1.0123,22
45,4,glouton,1.1868,21
45,5,glouton,1.031,23
45,6,glouton,1.028,22
45,7,glouton,1.0791,24
45,8,glouton,1.1568,22
45,9,glouton,0.9994,21
46,0,glouton,1.1044,25
46,1,glouton,1.0988,24
46,2,glouton,1.069,23
46,3,glouton,1.1253,24
46,4,glouton,1.0859,23
46,5,glouton,1.1035,24
46,6,glouton,1.0722,22
46,7,glouton,1.1983,25
46,8,glouton,1.0909,23
46,9,glouton,1.0772,23
47,0,glouton,1.1478,23
47,1,glouton,1.1598,23
47,2,glouton,1.1118,22
47,3,glouton,1.2317,26
47,4,glouton,1.1092,23
47,5,glouton,1.1467,24
47,6,glouton,1.0946,22
47,7,glouton,1.1445,23
47,8,glouton,1.1359,23
47,9,glouton,1.093,22
48,0,glouton,1.2099,24
48,1,glouton,1.1409,23
48,2,glouton,1.1873,23
48,3,glouton,1.199,24
48,4,glouton,1.1402,22
48,5,glouton,1.1888,23
48,6,glouton,1.116,23
48,7,glouton,1.6266,26
48,8,glouton,1.1453,23
48,9,glouton,1.127,23
49,0,glouton,1.2088,24
49,1,glouton,1.1948,23
49,2,glouton,1.1418,23
49,3,glouton,1.2224,26
49,4,glouton,1.4631,24
49,5,glouton,1.1706,25
49,6,glouton,1.1253,23
49,7,glouton,1.2034,25
49,8,glouton,1.1885,24
49,9,glouton,1.2278,24
50,0,glouton,1.2996,26
50,1,glouton,1.2652,25
50,2,glouton,1.2247,23
50,3,glouton,1.5319,25
50,4,glouton,1.2567,24
50,5,glouton,1.2566,24
50,6,glouton,1.2184,23
50,7,glouton,1.5106,26
50,8,glouton,1.3166,26
50,9,glouton,1.2553,25
51,0,glouton,1.3401,26
51,1,glouton,1.2699,24
51,2,glouton,1.3097,25
51,3,glouton,1.3162,25
51,4,glouton,1.413,25
51,5,glouton,1.2677,24
51,6,glouton,1.2531,23
51,7,glouton,1.4282,27
51,8,glouton,1.4064,24
51,9,glouton,1.2685,24
52,0,glouton,1.41,25
52,1,glouton,1.3754,26
52,2,glouton,1.3518,24
52,3,glouton,1.3996,25
52,4,glouton,1.3854,26
52,5,glouton,1.3289,24
52,6,glouton,1.3138,24
52,7,glouton,1.4444,28
52,8,glouton,1.3539,25
52,9,glouton,1.2778,23
53,0,glouton,1.384,25
53,1,glouton,1.7182,26
53,2,glouton,1.3012,23
53,3,glouton,1.4208,27
53,4,glouton,1.3335,25
53,5,glouton,1.3548,26
53,6,glouton,1.3748,26
53,7,glouton,1.4988,28
53,8,glouton,1.4223,26
53,9,glouton,1.4105,25
54,0,glouton,1.5359,28
54,1,glouton,1.4614,27
54,2,glouton,2.163,26
54,3,glouton,1.4879,26
54,4,glouton,1.4072,25
54,5,glouton,1.4487,26
54,6,glouton,1.51,26
54,7,glouton,1.5439,27
54,8,glouton,1.9791,26
54,9,glouton,1.4389,26
55,0,glouton,1.5244,26
